map_id,team1_id,team2_id,map_name,who_win
289,6665,7718,Ancient,0
715,4411,10577,Inferno,0
157,11251,9455,Nuke,1
524,4608,7532,Mirage,0
404,8637,6667,Overpass,1
474,4869,5752,Mirage,1
84,5005,11588,Overpass,0
208,6667,5752,Inferno,1
626,6665,11654,Ancient,0
692,6665,4411,Nuke,0
699,9928,4991,Nuke,1
265,4608,9565,Inferno,0
343,5752,5005,Inferno,0
276,4494,11251,Inferno,1
123,4869,6665,Nuke,0
135,4869,7175,Overpass,1
481,6667,5995,Inferno,0
557,6665,5995,Dust2,1
59,4494,9565,Overpass,0
144,9565,4494,Nuke,0
521,5005,5973,Ancient,1
198,5995,10973,Mirage,1
235,4869,11595,Mirage,0
193,5995,8297,Mirage,1
333,4608,9565,Mirage,0
179,9455,7020,Dust2,1
203,7718,4494,Mirage,1
107,11595,4494,Inferno,1
349,7020,11654,Dust2,0
405,7175,4494,Nuke,0
63,4411,10577,Overpass,0
412,4608,4494,Inferno,0
410,8297,6665,Mirage,1
377,9565,9215,Inferno,0
380,5995,4991,Inferno,1
570,8135,9455,Mirage,1
421,6667,7020,Mirage,0
451,4411,5995,Ancient,1
76,9565,5973,Dust2,0
523,10399,8038,Mirage,1
115,5995,5005,Nuke,0
389,6665,11585,Nuke,0
21,4411,7718,Vertigo,0
503,7532,4608,Ancient,1
552,5752,6665,Overpass,0
92,10894,8038,Inferno,1
447,5995,7020,Dust2,0
411,4494,10831,Ancient,0
281,7461,6667,Ancient,1
140,7175,9565,Inferno,0
44,10831,10503,Ancient,1
363,5995,4411,Mirage,0
431,5752,11595,Mirage,0
346,7532,11595,Dust2,1
359,10973,4869,Mirage,1
407,5973,5752,Vertigo,1
39,9455,9215,Inferno,0
215,6667,4494,Nuke,0
205,8297,6665,Mirage,0
98,9215,7532,Mirage,1
304,6665,5005,Inferno,0
35,10567,11595,Ancient,0
712,6902,8637,Vertigo,0
339,7532,8297,Vertigo,1
72,4494,6667,Mirage,1
293,6651,4411,Vertigo,0
74,6667,6665,Overpass,1
505,9215,6665,Overpass,1
139,4411,7175,Inferno,0
577,5995,7718,Inferno,1
631,7718,9565,Nuke,0
257,9565,8135,Nuke,1
390,5752,9455,Overpass,1
530,7020,11309,Vertigo,0
51,4411,6667,Nuke,1
519,8135,4608,Mirage,1
95,4608,4411,Ancient,0
591,10399,8038,Overpass,0
0,4869,11251,Vertigo,0
121,7175,9565,Mirage,0
227,8637,9565,Dust2,1
472,6667,5995,Ancient,1
428,11309,6665,Mirage,0
607,4608,6667,Overpass,1
473,4411,4608,Overpass,0
639,4411,7461,Overpass,1
104,9565,5973,Mirage,0
455,5973,10399,Vertigo,0
464,11309,10399,Inferno,1
88,5995,9565,Dust2,1
34,9215,5995,Inferno,1
14,11595,8297,Inferno,1
545,7532,5752,Overpass,0
396,5752,6665,Mirage,0
387,4773,5973,Mirage,1
493,9996,10399,Nuke,0
46,8297,4608,Mirage,1
60,7461,11518,Ancient,0
444,4991,11251,Dust2,1
355,5752,9996,Overpass,0
697,5752,6665,Inferno,1
391,5995,8297,Ancient,1
558,5973,4773,Vertigo,1
459,10503,4494,Ancient,1
303,11616,10973,Overpass,0
102,9996,10399,Inferno,1
