iter	Logloss
0	0.6800096997
1	0.6746481122
2	0.6665446505
3	0.6607547468
4	0.6508697119
5	0.6460943442
6	0.6377445706
7	0.6295625623
8	0.6207767457
9	0.6156153324
10	0.6082449076
11	0.6037141634
12	0.5979760336
13	0.5935528555
14	0.5868394405
15	0.5824725062
16	0.5770137815
17	0.5719906468
18	0.5639441093
19	0.5589183982
20	0.5560678222
21	0.5509021193
22	0.5453005558
23	0.5386069545
24	0.5331076564
25	0.5275201453
26	0.5233537526
27	0.5191499418
28	0.5135772034
29	0.508502373
30	0.5061328177
31	0.5020356328
32	0.4989157688
33	0.4947812408
34	0.4910432657
35	0.4902970335
36	0.4855526306
37	0.4817044688
38	0.4806634367
39	0.4764096655
40	0.4739310664
41	0.4726177649
42	0.4685659889
43	0.4661436158
44	0.4604724082
45	0.4580092881
46	0.454018141
47	0.4494531385
48	0.447043512
49	0.441816684
50	0.4378595444
51	0.4324323893
52	0.4284980371
53	0.4226179437
54	0.4184545047
55	0.4163133828
56	0.4144536785
57	0.4112279524
58	0.4074763169
59	0.4040931215
60	0.4015391591
61	0.3974364546
62	0.3949340054
63	0.3921898812
64	0.3886539744
65	0.3868068245
66	0.381657819
67	0.3788129479
68	0.3753212775
69	0.3724060729
70	0.3696686852
71	0.3677688754
72	0.3630627374
73	0.3608013738
74	0.358877723
75	0.3560523076
76	0.3544595211
77	0.3524556404
78	0.3489376236
79	0.345390063
80	0.3422264434
81	0.3394456012
82	0.3364783495
83	0.3337802176
84	0.3322397843
85	0.33038098
86	0.3267248336
87	0.3236607908
88	0.3209045216
89	0.3191284164
90	0.3171311772
91	0.3159556127
92	0.311188102
93	0.3065236504
94	0.3031199269
95	0.3017239168
96	0.2994825597
97	0.2974162747
98	0.296030581
99	0.2920952582
