iter	Passed	Remaining
0	3	375
1	7	364
2	11	362
3	15	364
4	18	355
5	22	357
6	25	344
7	29	342
8	33	336
9	37	334
10	43	349
11	47	346
12	50	337
13	53	331
14	57	324
15	60	316
16	63	310
17	66	303
18	70	298
19	73	292
20	78	295
21	82	292
22	85	285
23	88	280
24	91	274
25	94	269
26	98	266
27	102	263
28	106	260
29	109	255
30	116	259
31	120	256
32	124	252
33	128	250
34	133	248
35	139	247
36	145	247
37	150	245
38	155	243
39	161	242
40	174	251
41	180	249
42	186	247
43	192	245
44	198	242
45	203	239
46	211	238
47	216	234
48	221	230
49	231	231
50	245	235
51	249	230
52	253	225
53	257	219
54	261	213
55	266	209
56	276	208
57	283	205
58	287	199
59	292	194
60	298	190
61	304	186
62	310	182
63	315	177
64	319	172
65	323	166
66	327	161
67	332	156
68	337	151
69	342	146
70	350	142
71	354	137
72	360	133
73	365	128
74	370	123
75	377	119
76	381	113
77	385	108
78	390	103
79	394	98
80	402	94
81	408	89
82	412	84
83	417	79
84	421	74
85	425	69
86	429	64
87	434	59
88	440	54
89	446	49
90	454	44
91	458	39
92	461	34
93	467	29
94	473	24
95	479	19
96	486	15
97	490	10
98	494	4
99	497	0
