iter	Logloss	Accuracy	F1
0	0.6797392317	0.5455820477	0.4087591241
1	0.6760195713	0.5483870968	0.311965812
2	0.6663538771	0.5834502104	0.3529411765
3	0.6648152843	0.5680224404	0.366255144
4	0.6602121058	0.5974754558	0.4271457086
5	0.6542858434	0.603085554	0.507826087
6	0.6518390841	0.6072931276	0.4909090909
7	0.6465953013	0.6255259467	0.5206463196
8	0.6388657842	0.6283309958	0.5359019264
9	0.6374194146	0.6297335203	0.5479452055
10	0.6326034536	0.6423562412	0.5670628183
11	0.625056752	0.6647966339	0.6113821138
12	0.6209210678	0.667601683	0.6043405676
13	0.6144576576	0.6746143058	0.6245954693
14	0.6087457693	0.683029453	0.635483871
15	0.6050134176	0.6928471248	0.6462035541
16	0.6011803168	0.6998597475	0.6503267974
17	0.5861691769	0.6928471248	0.6450567261
18	0.5778296641	0.7026647966	0.6535947712
19	0.567728466	0.7265077139	0.6839546191
20	0.5546810645	0.7208976157	0.6710743802
21	0.5450839723	0.7391304348	0.6960784314
22	0.5335019832	0.7363253857	0.6987179487
23	0.5201254996	0.7489481066	0.7089430894
24	0.5144352701	0.7531556802	0.7142857143
25	0.4967255548	0.7896213184	0.7564935065
26	0.4848741712	0.8050490884	0.7804107425
27	0.4737745585	0.824684432	0.8037676609
28	0.4656948783	0.8330995792	0.8131868132
29	0.4596481511	0.8345021038	0.815625
30	0.455049451	0.8316970547	0.8119122257
31	0.4452932819	0.8485273492	0.8322981366
32	0.4437383473	0.8499298738	0.8325508607
33	0.4342324629	0.8569424965	0.8401253918
34	0.4328562112	0.858345021	0.84144427
35	0.4205062424	0.8541374474	0.8369905956
36	0.408167049	0.8709677419	0.8544303797
37	0.4031010238	0.8779803647	0.863422292
38	0.3914283665	0.8920056101	0.8787401575
39	0.3797869928	0.8976157083	0.885400314
40	0.3729384091	0.8976157083	0.8843106181
41	0.3620851511	0.9088359046	0.897314376
42	0.3503888967	0.9088359046	0.897314376
43	0.3436097554	0.920056101	0.9105180534
44	0.3341771986	0.9284712482	0.9201877934
45	0.3259490616	0.9312762973	0.9235569423
46	0.3223479067	0.9312762973	0.9237947123
47	0.3119161332	0.9382889201	0.9320987654
48	0.3072155075	0.9467040673	0.9409937888
49	0.2995035583	0.9438990182	0.9380804954
50	0.2964533045	0.9467040673	0.9411764706
51	0.2901068352	0.9523141655	0.9473684211
52	0.2809099268	0.9635343619	0.9598765432
53	0.2780376293	0.9663394109	0.9630769231
54	0.273117823	0.9677419355	0.9645608629
55	0.2656938428	0.9663394109	0.9630769231
56	0.2609409823	0.96914446	0.9661538462
57	0.2556354909	0.9747545582	0.9723076923
58	0.2489597771	0.9761570827	0.9738863287
59	0.2483541092	0.9775596073	0.9754601227
60	0.241161559	0.9775596073	0.9755351682
61	0.2397904212	0.9775596073	0.9755351682
62	0.2345078076	0.9803646564	0.9786585366
63	0.2268159933	0.98457223	0.9831029186
64	0.225058041	0.9859747546	0.9846153846
65	0.2205963497	0.9915848527	0.9908536585
66	0.2147590062	0.9929873773	0.9923664122
67	0.2134162037	0.9915848527	0.9908256881
68	0.2081855723	0.9901823282	0.989280245
69	0.2076969899	0.9915848527	0.990797546
70	0.203250164	0.9971949509	0.996941896
71	0.2014233704	1	1
72	0.1973976897	0.9985974755	0.9984686064
73	0.1970906499	0.9985974755	0.9984686064
74	0.1928629194	0.9957924264	0.9954198473
75	0.1883608203	0.9971949509	0.996941896
76	0.1822525994	0.9985974755	0.9984686064
77	0.1795983255	1	1
78	0.1771079807	1	1
79	0.1731140354	1	1
80	0.16961787	1	1
81	0.1695216849	1	1
82	0.1665679479	0.9985974755	0.9984686064
83	0.1623368855	0.9985974755	0.9984686064
84	0.1579720486	0.9985974755	0.9984686064
85	0.154764147	1	1
86	0.1510114597	1	1
87	0.1491919746	1	1
88	0.1461657191	1	1
89	0.143087214	1	1
90	0.1406739775	1	1
91	0.1396978603	1	1
92	0.1367539825	1	1
93	0.1345283827	1	1
94	0.1325064683	1	1
95	0.1301149128	1	1
96	0.1281087688	1	1
97	0.1268174058	1	1
98	0.1249549995	1	1
99	0.1229650687	1	1
100	0.122174446	1	1
101	0.1198175143	1	1
102	0.1171349838	1	1
103	0.1142322118	1	1
104	0.1117425327	1	1
105	0.1101649664	1	1
106	0.1082142291	1	1
107	0.1070111394	1	1
108	0.1055914947	1	1
109	0.1053409211	1	1
110	0.103903169	1	1
111	0.1034988939	1	1
112	0.1019253006	1	1
113	0.1006937596	1	1
114	0.09867638082	1	1
115	0.09667400155	1	1
116	0.09500817729	1	1
117	0.09394184703	1	1
118	0.09183917108	1	1
119	0.09085662468	1	1
120	0.08976999609	1	1
121	0.0886449876	1	1
122	0.08848838623	1	1
123	0.0878828374	1	1
124	0.08686295877	1	1
125	0.08640865216	1	1
126	0.08620254613	1	1
127	0.08585723918	1	1
128	0.08567967687	1	1
129	0.08550342996	1	1
130	0.08480641616	1	1
131	0.08441605012	1	1
132	0.08351694939	1	1
133	0.08216176816	1	1
134	0.08137636651	1	1
135	0.08030731566	1	1
136	0.07971343909	1	1
