iter	Passed	Remaining
0	2	29427
1	5	27124
2	7	26092
3	9	25552
4	12	25195
5	13	23910
6	15	23135
7	17	22939
8	19	22454
9	20	21953
10	22	21457
11	24	21257
12	26	21328
13	28	21360
14	30	21422
15	32	21158
16	33	20852
17	35	20692
18	37	20658
19	39	20589
20	41	20603
21	43	20723
22	45	20830
23	48	20920
24	50	21036
25	52	21098
26	54	21067
27	56	20937
28	57	20847
29	59	20716
30	61	20737
31	63	20622
32	65	20630
33	68	21051
34	71	21224
35	73	21374
36	76	21476
37	78	21487
38	80	21428
39	81	21277
40	83	21159
41	84	21033
42	86	20910
43	87	20776
44	89	20651
45	90	20545
46	92	20548
47	93	20430
48	95	20326
49	97	20251
50	98	20158
51	100	20071
52	101	19992
53	102	19885
54	104	19794
55	105	19707
56	107	19645
57	108	19571
58	110	19500
59	111	19427
60	113	19373
61	114	19319
62	116	19248
63	117	19171
64	119	19126
65	120	19064
66	122	19036
67	124	19001
68	126	19025
69	127	19032
70	130	19107
71	132	19093
72	133	19091
73	135	19064
74	137	19056
75	139	19132
76	141	19164
77	143	19164
78	145	19116
79	146	19082
80	148	19097
81	150	19098
82	152	19069
83	154	19113
84	156	19166
85	158	19139
86	160	19130
87	162	19244
88	164	19267
89	166	19283
90	169	19335
91	170	19314
92	172	19284
93	174	19251
94	175	19246
95	177	19244
96	179	19249
97	181	19233
98	183	19230
99	186	19315
100	188	19332
101	189	19307
102	191	19290
103	193	19275
104	195	19288
105	197	19289
106	198	19291
107	200	19281
108	202	19263
109	204	19239
110	206	19250
111	208	19303
112	210	19294
113	212	19288
114	213	19263
115	215	19278
116	217	19307
117	219	19304
118	221	19289
119	223	19260
120	224	19241
121	226	19259
122	228	19270
123	230	19263
124	232	19257
125	234	19249
126	235	19223
127	237	19198
128	238	19171
129	240	19185
130	242	19180
131	244	19164
132	246	19183
133	248	19195
134	250	19211
135	252	19180
136	253	19157
137	255	19139
138	256	19123
139	259	19148
140	261	19152
141	263	19170
142	265	19184
143	267	19203
144	269	19191
145	270	19177
146	273	19204
147	275	19216
148	277	19243
149	279	19254
150	281	19241
151	282	19232
152	284	19229
153	286	19220
154	288	19223
155	290	19234
156	292	19238
157	294	19253
158	296	19257
159	298	19233
160	299	19224
161	301	19219
162	303	19202
163	304	19178
164	306	19174
165	308	19197
166	310	19207
167	312	19185
168	314	19172
169	315	19169
170	317	19151
171	319	19131
172	320	19104
173	321	19070
174	323	19054
175	324	19028
176	326	19013
177	328	19010
178	329	18986
179	331	18966
180	332	18943
181	334	18920
182	336	18915
183	337	18889
184	339	18885
185	340	18877
186	342	18872
187	344	18867
188	346	18882
189	348	18865
190	349	18834
191	350	18804
192	352	18778
193	353	18752
194	355	18744
195	356	18728
196	358	18716
197	359	18697
198	362	18710
199	363	18691
200	364	18665
201	366	18640
202	367	18621
203	369	18602
204	370	18582
205	371	18556
206	373	18538
207	374	18519
208	376	18508
209	378	18497
210	379	18481
211	381	18462
212	382	18449
213	384	18435
214	385	18424
215	387	18410
216	388	18395
217	390	18395
218	392	18377
219	393	18366
220	395	18388
221	397	18378
222	399	18365
223	400	18354
224	402	18349
225	404	18345
226	405	18341
227	407	18328
228	409	18321
229	411	18332
230	412	18326
231	414	18332
232	417	18353
233	418	18348
234	420	18344
235	422	18338
236	424	18339
237	425	18326
238	427	18328
239	429	18329
240	431	18324
241	432	18304
242	434	18294
243	435	18284
244	437	18292
245	439	18280
246	440	18262
247	442	18246
248	443	18230
249	445	18216
250	446	18197
251	447	18185
252	449	18171
253	451	18167
254	452	18152
255	454	18143
256	455	18132
257	457	18121
258	458	18107
259	460	18091
260	461	18073
261	462	18057
262	464	18045
263	465	18030
264	467	18026
265	469	18017
266	470	18006
267	472	17992
268	473	17982
269	475	17970
270	476	17957
271	477	17945
272	479	17927
273	480	17913
274	482	17900
275	483	17888
276	485	17873
277	486	17862
278	487	17846
279	489	17835
280	490	17820
281	492	17809
282	493	17797
283	495	17788
284	496	17776
285	498	17776
286	500	17780
287	502	17787
288	504	17789
289	505	17781
290	507	17772
291	509	17766
292	511	17786
293	512	17773
294	514	17767
295	515	17755
296	517	17748
297	519	17758
298	521	17764
299	523	17772
300	525	17768
301	526	17764
302	528	17758
303	530	17754
304	531	17746
305	533	17740
306	534	17734
307	536	17734
308	538	17727
309	539	17718
310	541	17706
311	542	17696
312	544	17684
313	545	17682
314	547	17674
315	549	17668
316	550	17658
317	552	17650
318	553	17646
319	555	17657
320	557	17647
321	558	17639
322	560	17626
323	561	17621
324	563	17615
325	565	17610
326	566	17602
327	568	17591
328	569	17584
329	571	17574
330	573	17580
331	574	17577
332	576	17574
333	578	17585
334	580	17591
335	582	17590
336	584	17587
337	585	17580
338	587	17576
339	588	17570
340	590	17559
341	591	17554
342	593	17546
343	595	17541
344	596	17532
345	598	17528
346	600	17531
347	601	17529
348	603	17540
349	606	17547
350	607	17546
351	609	17544
