iter	Passed	Remaining
0	6	634
1	12	628
2	19	633
3	25	602
4	31	595
5	35	557
6	41	546
7	47	546
8	52	534
9	58	524
10	64	525
11	70	514
12	75	507
13	81	499
14	86	490
15	89	468
16	93	455
17	98	449
18	103	442
19	110	441
20	116	436
21	121	430
22	126	424
23	132	419
24	137	412
25	143	407
26	148	401
27	153	395
28	159	390
29	165	385
30	170	379
31	176	374
32	182	369
33	187	364
34	193	359
35	199	354
36	204	347
37	210	342
38	215	336
39	220	330
40	223	321
41	228	315
42	233	309
43	239	304
44	245	299
45	250	294
46	255	288
47	261	283
48	267	277
49	272	272
50	278	267
51	283	261
52	285	253
53	290	247
54	295	242
55	301	236
56	303	229
57	309	223
58	314	218
59	319	213
60	325	208
61	331	202
62	335	197
63	341	192
64	347	186
65	352	181
66	357	176
67	363	170
68	368	165
69	373	160
70	376	153
71	381	148
72	386	143
73	392	137
74	397	132
75	402	127
76	408	121
77	413	116
78	418	111
79	424	106
80	429	100
81	434	95
82	440	90
83	447	85
84	452	79
85	457	74
86	463	69
87	468	63
88	471	58
89	476	52
90	481	47
91	486	42
92	492	37
93	497	31
94	502	26
95	508	21
96	514	15
97	520	10
98	525	5
99	531	0
